# x	Norm
1.209	0.890541
1.21	0.891639
1.211	0.89273
1.212	0.893812
1.213	0.894886
1.214	0.895953
1.215	0.897012
1.216	0.898062
1.217	0.899105
1.218	0.900141
1.219	0.901168
1.22	0.902188
1.221	0.9032
1.222	0.904204
1.223	0.9052
1.224	0.906189
1.225	0.90717
1.226	0.908144
1.227	0.90911
1.228	0.910068
1.229	0.911019
1.23	0.911963
1.231	0.912899
1.232	0.913827
1.233	0.914748
1.234	0.915662
1.235	0.916568
1.236	0.917467
1.237	0.918359
1.238	0.919243
1.239	0.92012
1.24	0.92099
1.241	0.921853
1.242	0.922709
1.243	0.923557
1.244	0.924398
1.245	0.925233
1.246	0.92606
1.247	0.92688
1.248	0.927693
1.249	0.928499
1.25	0.929299
1.251	0.930091
1.252	0.930877
1.253	0.931656
1.254	0.932428
1.255	0.933193
1.256	0.933951
1.257	0.934703
1.258	0.935448
1.259	0.936187
1.26	0.936919
1.261	0.937644
1.262	0.938363
1.263	0.939075
1.264	0.939781
1.265	0.940481
1.266	0.941174
1.267	0.941861
1.268	0.942541
1.269	0.943215
1.27	0.943883
1.271	0.944545
1.272	0.945201
1.273	0.94585
1.274	0.946493
1.275	0.947131
1.276	0.947762
1.277	0.948387
1.278	0.949006
1.279	0.94962
1.28	0.950227
1.281	0.950829
1.282	0.951424
1.283	0.952014
1.284	0.952598
1.285	0.953177
1.286	0.95375
1.287	0.954317
1.288	0.954879
1.289	0.955435
1.29	0.955985
1.291	0.95653
1.292	0.957069
1.293	0.957604
1.294	0.958132
1.295	0.958656
1.296	0.959174
1.297	0.959686
1.298	0.960194
1.299	0.960696
1.3	0.961193
1.301	0.961685
1.302	0.962172
1.303	0.962654
1.304	0.963131
1.305	0.963603
1.306	0.96407
1.307	0.964532
1.308	0.964989
1.309	0.965441
1.31	0.965888
1.311	0.966331
1.312	0.966769
1.313	0.967202
1.314	0.967631
1.315	0.968055
1.316	0.968474
1.317	0.968889
1.318	0.969299
1.319	0.969705
1.32	0.970106
1.321	0.970503
1.322	0.970895
1.323	0.971283
1.324	0.971667
1.325	0.972047
1.326	0.972422
1.327	0.972793
1.328	0.97316
1.329	0.973523
1.33	0.973882
1.331	0.974236
1.332	0.974587
1.333	0.974933
1.334	0.975276
1.335	0.975615
1.336	0.975949
1.337	0.97628
1.338	0.976607
1.339	0.97693
1.34	0.97725
1.341	0.977566
1.342	0.977878
1.343	0.978186
1.344	0.978491
1.345	0.978792
1.346	0.979089
1.347	0.979383
1.348	0.979674
1.349	0.979961
1.35	0.980244
1.351	0.980525
1.352	0.980801
1.353	0.981075
1.354	0.981345
1.355	0.981612
1.356	0.981875
1.357	0.982136
1.358	0.982393
1.359	0.982647
1.36	0.982898
1.361	0.983145
1.362	0.98339
1.363	0.983632
1.364	0.98387
1.365	0.984106
1.366	0.984338
1.367	0.984568
1.368	0.984795
1.369	0.985019
1.37	0.98524
1.371	0.985458
1.372	0.985674
1.373	0.985887
1.374	0.986097
1.375	0.986304
1.376	0.986509
1.377	0.986711
1.378	0.98691
1.379	0.987107
1.38	0.987301
1.381	0.987493
1.382	0.987682
1.383	0.987869
1.384	0.988053
