# Longevidade	Quantidade
1.50181	0.772
1.50384	0.772667
1.50652	0.773333
1.51152	0.774
1.51203	0.774667
1.51413	0.775333
1.51775	0.776
1.52217	0.776667
1.52231	0.777333
1.52246	0.778
1.52927	0.778667
1.52941	0.779333
1.5305	0.78
1.5318	0.781
1.5368	0.782
1.53832	0.782667
1.541	0.783333
1.54158	0.784
1.54252	0.784667
1.54723	0.785333
1.54745	0.786
1.54803	0.786667
1.5481	0.787333
1.54919	0.788
1.55086	0.788667
1.55158	0.789333
1.55339	0.79
1.55766	0.790667
1.55774	0.791333
1.55962	0.792
1.56071	0.792667
1.56114	0.793333
1.56368	0.794
1.56817	0.794667
1.57078	0.795333
1.57194	0.796
1.57889	0.796667
1.5815	0.797333
1.58258	0.798
1.58345	0.798667
1.58454	0.799333
1.58483	0.8
1.58541	0.800667
1.58642	0.801333
1.59359	0.802
1.59475	0.802667
1.59483	0.803333
1.59772	0.804
1.60207	0.804667
1.60236	0.805333
1.60446	0.806
1.60497	0.806667
1.60591	0.807333
1.60815	0.808
1.61388	0.808667
1.61808	0.809333
1.64394	0.81
1.64648	0.810667
1.64669	0.811333
1.64908	0.812
1.65234	0.812667
1.65553	0.813333
1.65676	0.814
1.66118	0.814667
1.66306	0.815333
1.67313	0.816
1.67552	0.816667
1.68175	0.817333
1.69008	0.818
1.69045	0.818667
1.69088	0.819333
1.69262	0.82
1.69849	0.820667
1.69936	0.821333
1.70052	0.822
1.70247	0.822667
1.70305	0.823333
1.7037	0.824
1.71566	0.824667
1.725	0.825333
1.73601	0.826
1.73862	0.826667
1.73956	0.827333
1.73999	0.828
1.74173	0.828667
1.75057	0.829333
1.75187	0.83
1.76557	0.830667
1.76629	0.831333
1.76941	0.832
1.771	0.832667
1.77194	0.833333
1.77926	0.834
1.78071	0.834667
1.78129	0.835333
1.78223	0.836
1.78962	0.836667
1.80237	0.837333
1.80454	0.838
1.80816	0.838667
1.81265	0.839333
1.81555	0.84
1.81808	0.840667
1.822	0.841333
1.82605	0.842
1.83025	0.842667
1.83069	0.843333
1.83098	0.844
